Customer,text,title,hotel_Name,numberOfReviews,finalRating
lauradog95,"I had a wonderful stay at Colombo Court Hotel & Spa whilst working in Colombo. The staff were attentive, helpful, and friendly. The room was spacious and comfortable (great aircon and fan, and comfy bed!). Loved the pool and the Sri Lankan breakfast at the restaurant was delicious. Shout out to Chathuranga who always went above and beyond. Would stay again. Thank you!","Fantastic, comfortable experience",Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Rach-Marg,"The staff were incredibly welcoming and attentive. Mohammed and Sanjith were particularly kind and helpful. 
The room was clean and spacious with excellent air conditioning and fans. The bed was very comfortable. 
The main area is beautiful and the design is very authentically Sri Lankan which is a huge plus but also partially open so be wary during rainy season. 
There were a few ants in my room but I think that is to be expected this time of year. 
Overall, I thoroughly enjoyed my stay and highly recommend.",Great stay! Gorgeous authentic Sri Lankan Experience,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
HED249,"Always a peace heaven when in Colombo 3, perfectly situated near to Queens road, Number 11 and Gallery café.
Each room has its charm and benefit from natural light and air openings on the lush inner courtyard.
Bespoke service is anticipated and unintrusive, so rare in these days of standardisation. Mohamed and Rifqi each time one step ahead of expectations! Kamal in the housekeeping team has a  great attention to detail and willingness to assist.
Dining depending on the weather is available by the pool or on rooftop. Fresh and prepared with care and attention to  detail under Chef Clifford's oversight.",Boutique hotel of all,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
tomasa317,The room was spacious. The service personnel were very warm and gracious. Breakfast was plated and generous. The restaurant was beside the pool which added to the comfortable surroundings.,A boutique hotel like home,Colombo Court Hotel & Spa,-0.03620365856003366,-0.7649882739728273
Culture41710159424,Good hotel and nice room. Good value for money. The location is ideal for friends to gather or business meeting. Thank you.,Excellent location and friendly staff,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
163thanujam,Lovely location. It’s in the middle of the city but still away from the hustle and bustle. Rooms were clean and had proper amenities.,Clean and great place,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
615pauly,"A very smart small hotel with an enclosed courtyard and pool in the heart of a busy city. 
The staff are very friendly and attentive. The food's very good too, though I would have liked to have seen more local dishes on the menu.",A friendly oasis in a busy city,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Navigate19532369966,The staff were excellent. Definitely worth having the Indian Sri Lankan breakfast. Absolutely delicious. And the pool is very refreshing on any day!! can’t wait to come back. working from the room on the Wi-Fi was pretty good. Plenty of good places to eat near the Hotel too.,Relaxing place in the middle of town,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
K3330XAdavidb,"Small boutique hotel, good rooms & bathrooms. Good food. A little away form centre but easy to get transport. Clean and well staffed",Colombo - great stay,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Shehanrmnds,From the entrance the boutique ambience in the hotel was really great and feel welcomed. Service also great and the food was out of the world and nice and cleen rooms with great amenities.staff was very friendly and the hidden garden was so fresh and healthy.cant imagine it was inside of the hotel,Another day outing....in colombo,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
384sammanig,An ideal environment for a couple and a day out with ur friends and family. A calm environment with very less disturbance and a lovely staff tbh.. friendly and very helpful. We had a lovely time.,A good experience,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
CaroandGeoff,"We liked the funky vibe, with great pool, library and interesting metal sculptures and artwork. The staff were very friendly, professional and helpful. This hotel made our stay in Columbo very comfortable and memorable. Highly recommended","A pleasant, interesting and friendly haven in a good location",Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
katerK8823XJ,"An oasis of calm and understated luxury.  The service was phenomenal and all of the staff were exceptional. Super friendly and helpful, especially the reception staff. An afternoon swim in the pool is the perfect way to end a day exploring in the city. Would 100% recommend staying here.",Best place to stay in Colombo,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Rosiemarch232,"I only stayed 1 night but it is a lovely hotel, beautifully designed and I had a very comfortable spacious room - super clean! Friendly staff and they helped with an airport transfer for my arrival which was smooth. Would definitely stay again!",Lovely welcoming hotel in Colombo,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
denisesX3774IJ,Really good service. Riff and Hanfal was really nice!! That had massage which was really good. The masseuse was also nice and friendly! The pool area was beutiful. Everyone was really helpful. One bad thing was that the breakfast was not a buffet.,Really good service!,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Hlsj,Lovely hotel with great pool - fantastic location. Staff were friendly and helpful. Rooms were lovely and clean. Will stay again for a stopover when in Colombo . Walking distance to many nice cafes and shops. …………………………………………………………………..,Colombo city paradise,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
gopalv293,EXCELLENT SERVICE FROM THE WHOLE STAFF. THE HOTEL WAS SIMPLY AWESOME AND WOULD LOVE COME REGULARLY AND WILL HIGHLY RECOMMEND ALL AROUND I LIKE TO THANK ENTIRE STAFF OF  THE HOTEL AND SPECIALY FRONT DESK STAFF AND MY SPECIAL COMPLIMENTS TO PROP WRITER OF THE HOTEL,ONE OF THE BEST PLACE IN COLOMBO,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
panthilag,"The Colombo Court Hotel and Spa offers a delightful fusion of modern luxury and Sri Lankan charm. The stylish design, attentive staff, and array of amenities, including a spa and rooftop pool, create a relaxing and enjoyable experience. The on-site dining options showcase local flavors, adding to the overall cultural immersion. With its central location and comfortable accommodations, it's a fantastic choice for travelers seeking both comfort and authenticity in Colombo.",Perfect place,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
kimberlydT6964LQ,The hotel is clean and comfortable.  The staff is welcoming and provides excellent service.  Good location.  Easy to get transportation from here.  Lovely pool.  The breakfast was delicious and a great way to start our day.  I would recommend the Colombo Court Hotel and Spa.,Great place to stay in Colombo,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
nickbaer,Wir verbrachten mit unserer Familie zwei Nächte in diesem tollen Hotel. Das äusserst freundliche Personal und das ansprechende Design haben uns überzeugt. Auch die zentrale Lage ist ein plus. Kurzum: wir würden wieder kommen - vielen Dank!!,Gastfreundschaft trifft Design,Colombo Court Hotel & Spa,-0.03620365856003366,0.4085732826900327
Cruiser25922516553,"Lovely relaxing stay with everything we needed to relax for a few days after visiting India and before staring our cycling tour.  Beautiful location, great views, immaculate rooms and near to many good restaurants and of, course the beach.  The pool and grounds were very relaxing and there were many options for meals and drinks.  Loved the Swiss Bakery and Rajitha’s great service.  Staff was wonderful in the hotel!",Lovely relaxing comfort by the sea,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
yuj870,l had an exceptional stay from the moment I arrived.The front office staff made me feel welcomed and valued. The Rooms are spotless and beautifully designed. The  front desk team was incredibly helpful with recommendations and always have a friendly smile. specially lahiru. shamin. sithmi. shenali and kervyn . they were really helpful,wonderful beach resort close to the airport,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
460yum,"We had a great stay at Sentido Heritance Negombo, rooms were clean and tidy , staff specially from the reception great and helpful, I want to shout out some name specially Lahiru, Shamin, Sithmi, kervyn, Anura and Shenali from the reception. we will come back again very soon",Great Hotel,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
IzzyNelson,"This is our go to hotel for a couple of nights when flying in-out. Stayed quite a few times now and will be returning again at the end of our trip for another 3 nights. Definitely  a great beachfront hotel less than 30 mins from the airport. it is such a lovely comfortable hotel in a great location with good facilities, excellent restrauant and very relaxing lounge bar on the 3rd floor.
Excellent attention to detail. Our room had views over the gardens and pool towards the beach. It was very comfortable with an excellent power shower. Nice having the swim-up bar.
Outstanding staff, every single one, who go out of their way to make the stay exceptional.",Keep coming back!,Sentido Heritance Negombo,0.6907458909106905,-0.7649882739728273
167dannir,"We had a really great stay - we stayed here on the first night of our honeymoon in Sri Lanka and Kassandra and other staff made us feel so special, the room and sea view were incredible - with a really lovely welcome cake, chocolates and flowers on the bed - it was a really great start to our trip! The hotel lobby is incredible with views right into the sea and the hotel is in a great location, there are also lads of great food options just a short walk away!",Really Special Stay,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
maartenkelder,"Modern, very comfortable hotel on a nice & clean beach with well kept hotel grounds and good pool. Restaurant was good, both for breakfast and dinner. Service good and very friendly. 

Reason I don’t rate it higher is that checkin was slow and the hotel, although very nice, doesn’t have a special wow factor. It’s very good in all aspects but other than very friendly staff, doesn’t have a particular factor that I would rate as wow.",Very good choice for stay in Negombo before flight departure or after arrival for 1-2 days.,Sentido Heritance Negombo,0.6907458909106905,-0.7649882739728273
282MonikaK,"It was an amazing hotel my last day after two months in Sri Lanka, it is a beautiful Island and I will come back again for my forth time to Sr Lanka and again to this beautiful hotel, staff were brilliant and helpful specially in the front office and the reastaurant as well , they are sustainable practicing hotel as well, special mentions from the front desk lahiru, rikas, sampath, shenali, rashmi and sithija",Had a wonderful time,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
chiv248,"We loved the Hotel, the place was so nice, but the staff were just so happy and helpful. But the highlight was the restaurant/bar staff who made our stay beyond perfect. Special thanks to Dinesh and the team who just made us so welcome and looked after us so well we thought we were spoilt. I cannot praise and thank them enough",Mr & Mrs Peter,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
984irinat,"Прекрасный отель со всем необходимым. Очень красивый вид на океан. Вкусная еда и добродушный и отзывчивый персонал. Нам было удобно, что этот отель находится недалеко от аэропорта, так как наш рейс был на следующий день ранним утром. Могу смело рекомендовать данный отель для отдыха. Thank you to Kassandra, Shan, Budika, Reshan, Lahiru, and Riyas from the reception.",Отличный отдых в шри ланке с красивым видом на океан,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
53rk,My experience began well having arrived just before 11 a.m. after circa 22 hours travelling when I was given an early check in with no extra charge.  I had a lively light lunch in the gardens by the pool looking out at the beach and listening to the sound of the ocean.  The dinner was delicious.  All the staff were most welcoming and helpful.  The highlight was the best ever massage in the spa where I potted for the Balinese massage - a perfect way to banish jetlag. A great start to my holiday.,A great start to my holiday,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
Y2894HZstefaniek,The rooms are very clean and nice. The Service from Kassandra and Shan from the reception and the whole hotel is amazing and outstanding. Must thank the kitchen for the great food.  I loved the pool good Temperaturen and B Bumbs were amazing and very kind.,We would come back,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
957dam,"Great hotel looking over beach, very friendly staff and comfortable bright rooms. Good pool area and seating looking out to the sea.  Beach in front appeared clean. Good location with plenty of optional eateries close by. Would recommend a stay at this Heritance property.",Great quality hotel,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
Buffyvsamanda,"Great bathroom, excellent bed, quiet rooms with ocean views, fantastic buffet breakfast, loved the egg hoppers and vegetable dhal. Pool overlooking the ocean, good gym that I actually used!
Fantastic staff, super smooth check in which was appreciated at 12.30am.","Well located beach front hotel, great rooms",Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
Paradise53537120156,"Die Lage des Hotels und die Freundlichkeit des Personals machen den Aufenthalt hier besonders. Vom Bett aus den Sonnenuntergang beobachten und am Morgen beim Aufwachen den Fischerbooten, welche mit vollem Segel in See stechen, bei der Arbeit zuschauen. Sensationell!
Das Essen am Abend war ausgezeichnet. Einzig etwas schade, dass der Wintergarten so schlecht beleuchtet ist, so dass es schwierig war, die Karte zu entziffern.",Ein gelungener Abschluss unserer Rundreise,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
steverQ2728UG,"Amazing hotel and fantastic staff .Sampath was so helpful on our trips out side the hotel .Also I feel I have to mention just a few more of the hotel staff who gave us a amazing send off to day ,Dayah,Rashmi,Prasanna,kassanck,Shan,Kevin,Inuck,Shiyan,Sijitha .These people are like family to us , there all amazing and we miss you all dearly .Thanks for  making our holiday fantastic. Steve and Dawn from England Yorkshire ",The best hoilday,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
Q6100OBjaimel,"I have stayed here for 7 nights and everything was great. Riyas, Maheshini, Shiyan, & Kassandra at the reception are awesome and very helpful. The location is great. The most favorite thing is the view from my room. I could spend for an hour to sit near the window and do nothing. Absolutely love the experience. I would visit your hotel again in the future.",Awesome hotel,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
68dhileepanp,"What a memorable and amazing experience on Sentido Heritance Negombo. The staff at the reception were dedicated to ensuring that our vacation was remarkable, every morning we were greeted with warmth and pleasant smiles from Shan, Kassandra, Gayan, and Riyas. 
Suresh, the best bartender ever was professional and so knowledgeable. We had many great conversations with him and will miss him. I am planning a return trip.",Wonderful experience here!,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
y0hancp,"Excellent stay at the hotel. From the check in to checkout everything was great. Mr Prasanna and his team did a good job. Special thanks to Lahiru and Shenali they were very helpful and kind and overall ,the staff were really helpful and kind as well.",Excellent stay at the hotel. From the check in to checkout everything was great. Mr Prasanna and his team did a good job,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
919susanthaf,"Excellent hospitality throughout my stay. The best welcome and greeting extended towards me and my team. Have visited mutilple times and would love to visit again. The view is breathtaking. Thankking to Prasana Silva, Kassandra, Riays, Shiyan and the team.",Outstanding Service,Sentido Heritance Negombo,0.6907458909106905,0.4085732826900327
